gene,brain,region,side,value
2962767,144,CBC,R,6.630039999999998
2962767,182,CBC,L,6.41499
2962767,183,CBC,L,6.04959
2962767,135,DFC,R,5.5738900000000005
2962767,135,DFC,L,5.37087
2962767,144,DFC,R,5.85481
2962767,144,DFC,L,6.02256
2962767,182,DFC,L,5.0963699999999985
2962767,183,DFC,L,5.55398
3009335,135,CBC,L,5.79154
3009335,144,CBC,L,7.21477
3009335,144,CBC,R,6.65223
3009335,182,CBC,L,6.16279
3009335,183,CBC,L,6.17684
3009335,135,DFC,L,4.954269999999998
3009335,135,DFC,R,5.035819999999998
3009335,144,DFC,L,4.94179
3009335,144,DFC,R,4.77144
3009335,182,DFC,L,4.77984
3009335,183,DFC,L,4.35801
3009838,135,CBC,L,6.53324
3009838,144,CBC,R,6.15268
3009838,144,CBC,L,6.5716
3009838,182,CBC,L,5.82871
3009838,183,CBC,L,5.323180000000002
3009838,135,DFC,R,6.42634
3009838,135,DFC,L,7.11066
3009838,144,DFC,R,6.24279
3009838,144,DFC,L,5.82206
3009838,182,DFC,L,5.37093
3009838,183,DFC,L,5.66551
3011861,135,CBC,L,8.81018
3011861,144,CBC,R,8.99213
3011861,144,CBC,L,8.941180000000003
3011861,182,CBC,L,9.7192
3011861,183,CBC,L,8.66511
3011861,135,DFC,L,10.3511
3011861,135,DFC,R,9.87815
3011861,144,DFC,R,9.67833
3011861,144,DFC,L,9.25134
3011861,182,DFC,L,10.0366
3011861,183,DFC,L,10.2431
3015216,135,CBC,L,9.86979
3015216,144,CBC,R,9.7647
3015216,144,CBC,L,9.90851
3015216,182,CBC,L,10.1009
3015216,183,CBC,L,9.73464
3015216,135,DFC,R,10.7839
3015216,135,DFC,L,10.3712
3015216,144,DFC,L,10.1806
3015216,144,DFC,R,10.377
3015216,182,DFC,L,9.11628
3015216,183,DFC,L,10.2101
3022841,135,CBC,L,4.89051
3022841,144,CBC,R,6.532780000000002
3022841,144,CBC,L,5.93848
3022841,182,CBC,L,5.68759
3022841,183,CBC,L,5.29371
3022841,135,DFC,L,4.73906
3022841,135,DFC,R,4.47492
3022841,144,DFC,R,4.46448
3022841,144,DFC,L,4.56842
3022841,182,DFC,L,5.14207
3022841,183,DFC,L,4.44154
3063532,135,CBC,L,4.4637699999999985
3063532,144,CBC,R,4.63007
3063532,144,CBC,L,4.35735
3063532,182,CBC,L,4.09157
3063532,183,CBC,L,5.26424
3063532,135,DFC,L,4.4256
3063532,135,DFC,R,4.5182
3063532,144,DFC,L,4.16747
3063532,144,DFC,R,3.62511
3063532,182,DFC,L,5.11502
3063532,183,DFC,L,4.09333
3065684,135,CBC,L,5.95838
3065684,144,CBC,R,6.92292
3065684,144,CBC,L,7.47359
3065684,182,CBC,L,7.08985
3065684,183,CBC,L,6.45634
3065684,135,DFC,L,4.08747
3065684,135,DFC,R,4.38186
3065684,144,DFC,L,4.4375800000000005
3065684,144,DFC,R,4.13189
3065684,182,DFC,L,4.56544
3065684,183,DFC,L,4.30934
3082990,135,CBC,L,5.486669999999998
3082990,144,CBC,L,5.26636
3082990,144,CBC,R,4.64449
3082990,182,CBC,L,4.16962
3082990,183,CBC,L,4.80928
3082990,135,DFC,L,6.3933
3082990,135,DFC,R,6.18724
3082990,144,DFC,R,5.65064
3082990,144,DFC,L,5.82015
3082990,182,DFC,L,5.76922
3082990,183,DFC,L,6.626460000000002
3086181,135,CBC,L,5.7264599999999986
3086181,144,CBC,R,5.43057
3086181,144,CBC,L,5.12499
3086181,182,CBC,L,4.79729
3086181,183,CBC,L,4.70858
3086181,135,DFC,R,5.17617
3086181,135,DFC,L,5.22057
3086181,144,DFC,L,4.86891
3086181,144,DFC,R,5.20256
3086181,182,DFC,L,5.08334
3086181,183,DFC,L,5.13632
3094334,135,CBC,L,6.9798100000000005
3094334,144,CBC,L,7.177039999999999
3094334,144,CBC,R,6.875380000000002
3094334,182,CBC,L,7.48021
3094334,183,CBC,L,7.284110000000001
3094334,135,DFC,R,6.8083
3094334,135,DFC,L,7.06256
3094334,144,DFC,R,6.894260000000001
3094334,144,DFC,L,6.89572
3094334,182,DFC,L,6.91224
3094334,183,DFC,L,6.96829
3099750,135,CBC,L,8.72872
3099750,144,CBC,R,10.0268
3099750,144,CBC,L,10.1805
3099750,182,CBC,L,9.79648
3099750,183,CBC,L,9.76267
3099750,135,DFC,L,10.4521
3099750,135,DFC,R,10.1188
3099750,144,DFC,R,10.8217
3099750,144,DFC,L,10.4236
3099750,182,DFC,L,10.0269
3099750,183,DFC,L,10.0733
3130850,135,CBC,L,6.75997
3130850,144,CBC,L,8.01603
3130850,144,CBC,R,7.86823
3130850,182,CBC,L,8.16864
3130850,183,CBC,L,7.62202
3130850,135,DFC,L,4.55922
3130850,135,DFC,R,4.93041
3130850,144,DFC,R,4.5808
3130850,144,DFC,L,4.86698
3130850,182,DFC,L,5.18007
3130850,183,DFC,L,5.5450599999999985
3180342,135,CBC,L,5.7737300000000005
3180342,144,CBC,L,6.15903
3180342,144,CBC,R,6.39726
3180342,182,CBC,L,6.3293599999999985
3180342,183,CBC,L,5.93023
3180342,135,DFC,R,5.98278
3180342,135,DFC,L,5.7148
